year,survey_id,SITE,site_type,SITE_label,DATE,season,year_season,Activity,Coral_No,Colour_Code_Lightest,Colour_Code_Darkest,Average_Colour,Coral_Type,Type,Colour_Code_num,health
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,16,D3,D5,4,Plate corals,Darkest_num,5,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,17,D1,D3,2,Branching corals,Lightest_num,1,bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,17,D1,D3,2,Branching corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,18,D2,D3,2.5,Boulder corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,18,D2,D3,2.5,Boulder corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,19,D1,D2,1.5,Branching corals,Lightest_num,1,bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,19,D1,D2,1.5,Branching corals,Darkest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,20,D2,D4,3,Boulder corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,20,D2,D4,3,Boulder corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,1,D4,D4,4,Plate corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,1,D4,D4,4,Plate corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,2,E3,E3,3,Branching corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,2,E3,E3,3,Branching corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,3,E4,E4,4,Branching corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,3,E4,E4,4,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,4,E2,D3,2.5,Plate corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,4,E2,D3,2.5,Plate corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,5,D3,D3,3,Boulder corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,5,D3,D3,3,Boulder corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,6,B4,B4,4,Branching corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,6,B4,B4,4,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,7,B3,B3,3,Branching corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,7,B3,B3,3,Branching corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,8,D2,D2,2,Branching corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,8,D2,D2,2,Branching corals,Darkest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,9,D4,D4,4,Plate corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,9,D4,D4,4,Plate corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,10,E4,E4,4,Branching corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,10,E4,E4,4,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,11,E2,E4,3,Boulder corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,11,E2,E4,3,Boulder corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,12,B4,B4,4,Branching corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,12,B4,B4,4,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,13,B4,B4,4,Branching corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,13,B4,B4,4,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,14,E3,E3,3,Branching corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,14,E3,E3,3,Branching corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,15,D2,D3,2.5,Plate corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,15,D2,D3,2.5,Plate corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,16,D2,D2,2,Branching corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,16,D2,D2,2,Branching corals,Darkest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,17,D6,D6,6,Plate corals,Lightest_num,6,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,17,D6,D6,6,Plate corals,Darkest_num,6,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,18,D4,D4,4,Boulder corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,18,D4,D4,4,Boulder corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,19,E3,E3,3,Branching corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,19,E3,E3,3,Branching corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,20,D3,D3,3,Plate corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,20,D3,D3,3,Plate corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,1,C1,C5,3,Branching corals,Lightest_num,1,bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,1,C1,C5,3,Branching corals,Darkest_num,5,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,2,D1,D2,1.5,Branching corals,Lightest_num,1,bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,2,D1,D2,1.5,Branching corals,Darkest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,3,D1,D3,2,Branching corals,Lightest_num,1,bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,3,D1,D3,2,Branching corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,4,B3,B4,3.5,Branching corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,4,B3,B4,3.5,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,5,E2,E4,3,Branching corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,5,E2,E4,3,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,7,E2,E4,3,Branching corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,7,E2,E4,3,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,9,B3,B4,3.5,Branching corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,9,B3,B4,3.5,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,10,E3,E4,3.5,Branching corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,10,E3,E4,3.5,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,11,D1,D3,2,Branching corals,Lightest_num,1,bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,11,D1,D3,2,Branching corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,12,E5,E5,5,Boulder corals,Lightest_num,5,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,12,E5,E5,5,Boulder corals,Darkest_num,5,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,14,D1,D4,2.5,Branching corals,Lightest_num,1,bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,14,D1,D4,2.5,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,15,D3,D3,3,Plate corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,15,D3,D3,3,Plate corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,16,B4,B4,4,Boulder corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,16,B4,B4,4,Boulder corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,17,D3,D4,3.5,Branching corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,17,D3,D4,3.5,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,18,B2,D3,2.5,Branching corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,18,B2,D3,2.5,Branching corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,19,D2,D3,2.5,Branching corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,19,D2,D3,2.5,Branching corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,20,E5,E5,5,Branching corals,Lightest_num,5,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,20,E5,E5,5,Branching corals,Darkest_num,5,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,21,B3,E5,4,Branching corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,NF,Cappuccino (NF),2024-10-30,Spring,2024_Spring,Snorkeling,21,B3,E5,4,Branching corals,Darkest_num,5,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,1,E2,E5,3.5,Branching corals,Lightest_num,2,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,1,E2,E5,3.5,Branching corals,Darkest_num,5,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,2,C2,D3,2.5,Branching corals,Lightest_num,2,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,2,C2,D3,2.5,Branching corals,Darkest_num,3,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,3,E4,D4,4,Branching corals,Lightest_num,4,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,3,E4,D4,4,Branching corals,Darkest_num,4,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,4,E2,D2,2,Branching corals,Lightest_num,2,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,4,E2,D2,2,Branching corals,Darkest_num,2,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,5,E2,D4,3,Branching corals,Lightest_num,2,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,5,E2,D4,3,Branching corals,Darkest_num,4,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,6,E2,E5,3.5,Plate corals,Lightest_num,2,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,6,E2,E5,3.5,Plate corals,Darkest_num,5,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,7,E2,D5,3.5,Branching corals,Lightest_num,2,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,7,E2,D5,3.5,Branching corals,Darkest_num,5,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,8,E2,E5,3.5,Boulder corals,Lightest_num,2,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,8,E2,E5,3.5,Boulder corals,Darkest_num,5,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,9,E2,D3,2.5,Branching corals,Lightest_num,2,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,9,E2,D3,2.5,Branching corals,Darkest_num,3,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,10,D2,D4,3,Branching corals,Lightest_num,2,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,10,D2,D4,3,Branching corals,Darkest_num,4,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,11,E3,D3,3,Branching corals,Lightest_num,3,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,11,E3,D3,3,Branching corals,Darkest_num,3,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,12,E2,E4,3,Branching corals,Lightest_num,2,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,12,E2,E4,3,Branching corals,Darkest_num,4,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,13,B3,D4,3.5,Branching corals,Lightest_num,3,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,13,B3,D4,3.5,Branching corals,Darkest_num,4,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,14,C1,C3,2,Branching corals,Lightest_num,1,bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,14,C1,C3,2,Branching corals,Darkest_num,3,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,15,B2,D3,2.5,Boulder corals,Lightest_num,2,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,15,B2,D3,2.5,Boulder corals,Darkest_num,3,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,16,D3,D5,4,Branching corals,Lightest_num,3,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,16,D3,D5,4,Branching corals,Darkest_num,5,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,17,E2,D3,2.5,Branching corals,Lightest_num,2,not bleached
2023,Cappuccino_2023-09-30,Cappuccino,NF,Cappuccino (NF),2023-09-30,Spring,2023_Spring,Snorkeling,17,E2,D3,2.5,Branching corals,Darkest_num,3,not bleached
